iata,airport,city,state,country,lat,long
ANR,Antwerp International Airport (Deurne),,,,51.1893997192,4.46027994156
\N,Beauvechain Air Base,,,,50.75859832763672,4.768330097198486
\N,Kleine Brogel Air Base,,,,51.168301,5.47
BRU,Brussels Airport,,,,50.901401519800004,4.48443984985
\N,Jehonville Air Base,,,,49.891700744628906,5.2238898277282715
CRL,Brussels South Charleroi Airport,,,,50.459202,4.45382
\N,Chièvres Air Base,,,,50.575801849365234,3.8310000896453857
\N,Koksijde Air Base,,,,51.090301513671875,2.652780055999756
\N,Florennes Air Base,,,,50.2433013916,4.64583015442
KJK,Wevelgem Airport,,,,50.817199707,3.20472002029
LGG,Liège Airport,,,,50.63740158081055,5.443220138549805
OST,Ostend-Bruges International Airport,,,,51.198898315399994,2.8622200489
\N,Zutendaal Air Base,,,,50.9474983215332,5.590559959411621
\N,Brustem Airfield Sint Truiden,,,,50.791901,5.20167
\N,Saint Hubert Air Base,,,,50.034400939941406,5.440810203552246
\N,Ursel Air Base,,,,51.14419937133789,3.475559949874878
\N,Weelde Air Base,,,,51.394798278808594,4.9601898193359375
OBL,Zoersel (Oostmalle) Airfield,,,,51.264702,4.75333
\N,Flugplatz Bautzen,,,,51.193611,14.519722
AOC,Altenburg-Nobitz Airport,,,,50.981945,12.506389
\N,Dessau Airfield,,,,51.831694,12.190962
\N,Eisenhüttenstadt Airfield,,,,52.195856,14.58753
\N,Großenhain Airport,,,,51.30805587768555,13.555556297302246
\N,Merseburg Airport,,,,51.3630556,11.9408333
\N,Halle-Oppin Airport,,,,51.552223,12.053889
IES,Riesa-Göhlis Airport,,,,51.2936096191,13.3561105728
REB,Rechlin-Lärz Airport,,,,53.306388855,12.7522220612
\N,Strausberg Airport,,,,52.5805549621582,13.916666984558105
QXH,Schönhagen Airport,,,,52.203609,13.156389
BBH,Barth Airport,,,,54.338253,12.710515
\N,Jena-Schöngleina Airfield,,,,50.915279,11.714444
\N,Kyritz Airport,,,,52.918888092041016,12.425277709960938
ZMG,"Magdeburg ""City"" Airport",,,,52.073612,11.626389
\N,Rothenburg/Görlitz Airport,,,,51.36333465576172,14.949999809265137
\N,Anklam Airfield,,,,53.832779,13.668611
CBU,Cottbus-Drewitz Airport,,,,51.889442,14.531944
\N,Kamenz Airport,,,,51.29694366455078,14.1274995803833
SXF,Berlin-Schönefeld Airport,,,,52.380001,13.5225
DRS,Dresden Airport,,,,51.1328010559082,13.767200469970703
ERF,Erfurt Airport,,,,50.979801177978516,10.958100318908691
FRA,Frankfurt am Main Airport,,,,50.033333,8.570556
FMO,Münster Osnabrück Airport,,,,52.134601593,7.68483018875
HAM,Hamburg Airport,,,,53.630401611328,9.9882297515869
THF,Berlin-Tempelhof International Airport,,,,52.472999572753906,13.403900146484375
CGN,Cologne Bonn Airport,,,,50.8658981323,7.1427397728
DUS,Düsseldorf Airport,,,,51.289501,6.76678
MUC,Munich Airport,,,,48.353802,11.7861
NUE,Nuremberg Airport,,,,49.498699,11.078056
